"
time",,values
11:24:37,41077.36,-238
11:24:37,41077.37,-225
11:24:37,41077.38,-182
11:24:37,41077.39,-127
11:24:37,41077.40,-91
11:24:37,41077.41,-86
11:24:37,41077.42,-121
11:24:37,41077.43,-161
11:24:37,41077.44,-166
11:24:37,41077.45,-144
11:24:37,41077.46,-97
11:24:37,41077.46,-55
11:24:37,41077.47,-34
11:24:37,41077.48,-32
11:24:37,41077.49,-42
11:24:37,41077.50,-15
11:24:37,41077.51,58
11:24:37,41077.52,138
11:24:37,41077.54,195
11:24:37,41077.54,188
11:24:37,41077.55,167
11:24:37,41077.56,110
11:24:37,41077.57,50
11:24:37,41077.58,24
11:24:37,41077.59,164
11:24:37,41077.60,520
11:24:37,41077.61,714
11:24:37,41077.62,586
11:24:37,41077.63,263
11:24:37,41077.64,9
11:24:37,41077.65,-50
11:24:37,41077.66,-102
11:24:37,41077.67,-110
11:24:37,41077.68,-145
11:24:37,41077.69,-224
11:24:37,41077.70,-291
11:24:37,41077.71,-327
11:24:37,41077.72,-321
11:24:37,41077.73,-277
11:24:37,41077.74,-232
11:24:37,41077.75,-188
11:24:37,41077.76,-185
11:24:37,41077.77,-182
11:24:37,41077.78,-157
11:24:37,41077.79,-102
11:24:37,41077.80,-25
11:24:37,41077.81,31
11:24:37,41077.82,79
11:24:37,41077.83,78
11:24:37,41077.84,42
11:24:37,41077.85,-1
11:24:37,41077.86,-21
11:24:37,41077.87,-7
11:24:37,41077.88,37
11:24:37,41077.89,61
11:24:37,41077.90,65
11:24:37,41077.91,27
11:24:37,41077.92,-8
11:24:37,41077.94,-29
11:24:37,41077.95,-19
11:24:37,41077.96,40
11:24:37,41077.97,81
11:24:37,41077.98,51
11:24:37,41077.99,-9
11:24:37,41078.00,-63
11:24:38,41078.01,-57
11:24:38,41078.02,-41
11:24:38,41078.03,18
11:24:38,41078.04,102
11:24:38,41078.05,160
11:24:38,41078.06,171
11:24:38,41078.07,137
11:24:38,41078.08,123
11:24:38,41078.09,126
11:24:38,41078.10,139
11:24:38,41078.11,150
11:24:38,41078.12,125
11:24:38,41078.13,54
11:24:38,41078.14,-39
11:24:38,41078.15,-116
11:24:38,41078.16,-129
11:24:38,41078.17,-99
11:24:38,41078.18,-43
11:24:38,41078.19,9
11:24:38,41078.20,40
11:24:38,41078.21,35
11:24:38,41078.22,2
11:24:38,41078.23,-27
11:24:38,41078.24,-15
11:24:38,41078.25,28
11:24:38,41078.26,51
11:24:38,41078.27,31
11:24:38,41078.28,-16
11:24:38,41078.29,-59
11:24:38,41078.30,-69
11:24:38,41078.31,98
11:24:38,41078.32,520
11:24:38,41078.33,833
11:24:38,41078.34,755
11:24:38,41078.35,371
11:24:38,41078.36,52
11:24:38,41078.37,-66
11:24:38,41078.38,-135
11:24:38,41078.39,-187
11:24:38,41078.40,-239
11:24:38,41078.41,-295
11:24:38,41078.42,-345
