time,,values
11:21:31,40891.22,33
11:21:31,40891.22,80
11:21:31,40891.23,96
11:21:31,40891.24,147
11:21:31,40891.25,158
11:21:31,40891.26,180
11:21:31,40891.27,145
11:21:31,40891.28,132
11:21:31,40891.29,75
11:21:31,40891.30,3
11:21:31,40891.31,-174
11:21:31,40891.32,-239
11:21:31,40891.34,-306
11:21:31,40891.34,-242
11:21:31,40891.35,-255
11:21:31,40891.36,-242
11:21:31,40891.37,-307
11:21:31,40891.39,-243
11:21:31,40891.40,-243
11:21:31,40891.41,-121
11:21:31,40891.42,-187
11:21:31,40891.43,-118
11:21:31,40891.44,-147
11:21:31,40891.45,-115
11:21:31,40891.46,-100
11:21:31,40891.47,-10
11:21:31,40891.48,-50
11:21:31,40891.49,-25
11:21:31,40891.50,-127
11:21:31,40891.51,-40
11:21:31,40891.52,-87
11:21:31,40891.53,-39
11:21:31,40891.54,-48
11:21:31,40891.55,-47
11:21:31,40891.56,-117
11:21:31,40891.57,-59
11:21:31,40891.58,-60
11:21:31,40891.59,110
11:21:31,40891.60,143
11:21:31,40891.61,275
11:21:31,40891.62,273
11:21:31,40891.63,263
11:21:31,40891.64,221
11:21:31,40891.65,71
11:21:31,40891.66,-83
11:21:31,40891.67,-101
11:21:31,40891.68,-99
11:21:31,40891.69,-13
11:21:31,40891.70,-140
11:21:31,40891.71,-162
11:21:31,40891.72,-247
11:21:31,40891.73,-168
11:21:31,40891.74,174
11:21:31,40891.75,561
11:21:31,40891.76,877
11:21:31,40891.77,1052
11:21:31,40891.78,1050
11:21:31,40891.79,863
11:21:31,40891.80,427
11:21:31,40891.81,-62
11:21:31,40891.82,-353
11:21:31,40891.83,-499
11:21:31,40891.84,-448
11:21:31,40891.85,-288
11:21:31,40891.86,-241
11:21:31,40891.87,-126
11:21:31,40891.88,-182
11:21:31,40891.89,-115
11:21:31,40891.90,-125
11:21:31,40891.91,-112
11:21:31,40891.92,-71
11:21:31,40891.93,-2
11:21:31,40891.94,65
11:21:31,40891.94,99
11:21:31,40891.95,86
11:21:31,40891.96,132
11:21:31,40891.97,149
11:21:31,40891.98,189
11:21:31,40891.99,204
11:21:32,40892.00,201
11:21:32,40892.01,180
11:21:32,40892.02,154
11:21:32,40892.03,105
11:21:32,40892.04,2
11:21:32,40892.05,-162
11:21:32,40892.06,-240
11:21:32,40892.07,-259
11:21:32,40892.08,-235
11:21:32,40892.09,-206
11:21:32,40892.10,-252
11:21:32,40892.11,-271
11:21:32,40892.12,-234
11:21:32,40892.13,-195
11:21:32,40892.14,-105
11:21:32,40892.15,-153
11:21:32,40892.16,-112
11:21:32,40892.17,-110
11:21:32,40892.18,-128
11:21:32,40892.19,-179
11:21:32,40892.20,-135
11:21:32,40892.21,-122
11:21:32,40892.22,-22
11:21:32,40892.23,-87
11:21:32,40892.24,-32
11:21:32,40892.25,-53
11:21:32,40892.26,-41
11:21:32,40892.27,-13
11:21:32,40892.28,56
11:21:32,40892.29,26
11:21:32,40892.30,30
11:21:32,40892.31,-57
11:21:32,40892.32,79
11:21:32,40892.33,126
11:21:32,40892.34,243
11:21:32,40892.35,244
11:21:32,40892.36,255
11:21:32,40892.37,216
11:21:32,40892.38,161
11:21:32,40892.39,-4
11:21:32,40892.40,-60
11:21:32,40892.41,-185
11:21:32,40892.42,-197
11:21:32,40892.44,-275
11:21:32,40892.45,-270
11:21:32,40892.46,-286
11:21:32,40892.47,-266
11:21:32,40892.48,-163
11:21:32,40892.49,234
11:21:32,40892.50,638
11:21:32,40892.51,1073
11:21:32,40892.52,1077
11:21:32,40892.53,881
11:21:32,40892.54,433
11:21:32,40892.55,71
11:21:32,40892.56,-251
11:21:32,40892.57,-403
11:21:32,40892.58,-473
11:21:32,40892.59,-364
11:21:32,40892.60,-230
11:21:32,40892.61,-152
11:21:32,40892.62,-123
11:21:32,40892.63,-116
11:21:32,40892.64,-19
11:21:32,40892.65,-55
11:21:32,40892.66,-12
11:21:32,40892.67,-21
11:21:32,40892.68,90
11:21:32,40892.69,97
11:21:32,40892.70,118
11:21:32,40892.71,139
11:21:32,40892.72,175
11:21:32,40892.73,199
11:21:32,40892.74,224
11:21:32,40892.75,206
11:21:32,40892.76,175
11:21:32,40892.77,110
11:21:32,40892.78,51
11:21:32,40892.79,-76
11:21:32,40892.80,-181
11:21:32,40892.81,-280
11:21:32,40892.82,-245
11:21:32,40892.83,-172
11:21:32,40892.84,-194
11:21:32,40892.85,-178
11:21:32,40892.86,-261
11:21:32,40892.87,-165
11:21:32,40892.88,-203
11:21:32,40892.89,-161
11:21:32,40892.90,-159
11:21:32,40892.91,-173
11:21:32,40892.92,-220
11:21:32,40892.93,-169
11:21:32,40892.94,-155
11:21:32,40892.95,-44
11:21:32,40892.96,-110
11:21:32,40892.97,-51
11:21:32,40892.98,-77
11:21:32,40892.99,-61
11:21:32,40893.00,-33
11:21:33,40893.01,32
11:21:33,40893.02,1
11:21:33,40893.03,7
11:21:33,40893.04,-84
11:21:33,40893.05,-4
11:21:33,40893.06,-43
11:21:33,40893.07,79
11:21:33,40893.08,144
11:21:33,40893.09,235
11:21:33,40893.10,247
11:21:33,40893.11,249
11:21:33,40893.12,226
11:21:33,40893.13,176
11:21:33,40893.14,111
11:21:33,40893.15,18
11:21:33,40893.16,-65
11:21:33,40893.17,-145
11:21:33,40893.18,-212
11:21:33,40893.19,-280
11:21:33,40893.20,-326
11:21:33,40893.21,-300
11:21:33,40893.22,-173
11:21:33,40893.23,189
11:21:33,40893.24,608
11:21:33,40893.25,1030
