time,,values
11:18:05,40686.01,-305
11:18:06,40686.01,-276
11:18:06,40686.01,-247
11:18:06,40686.01,-223
11:18:06,40686.02,-186
11:18:06,40686.02,-163
11:18:06,40686.02,-141
11:18:06,40686.03,-123
11:18:06,40686.04,-103
11:18:06,40686.05,-89
11:18:06,40686.06,-72
11:18:06,40686.07,-58
11:18:06,40686.08,-28
11:18:06,40686.09,19
11:18:06,40686.10,55
11:18:06,40686.11,96
11:18:06,40686.12,99
11:18:06,40686.13,92
11:18:06,40686.14,52
11:18:06,40686.15,8
11:18:06,40686.16,-45
11:18:06,40686.17,-98
11:18:06,40686.18,-148
11:18:06,40686.19,-162
11:18:06,40686.20,-167
11:18:06,40686.21,-153
11:18:06,40686.22,-153
11:18:06,40686.23,-148
11:18:06,40686.24,-142
11:18:06,40686.25,-140
11:18:06,40686.26,-116
11:18:06,40686.27,-101
11:18:06,40686.28,-81
11:18:06,40686.30,-75
11:18:06,40686.30,-73
11:18:06,40686.32,-69
11:18:06,40686.32,-79
11:18:06,40686.33,-86
11:18:06,40686.34,-76
11:18:06,40686.35,-64
11:18:06,40686.36,-50
11:18:06,40686.37,-53
11:18:06,40686.38,-49
11:18:06,40686.39,-43
11:18:06,40686.40,-43
11:18:06,40686.41,-41
11:18:06,40686.42,-42
11:18:06,40686.43,-17
11:18:06,40686.44,41
11:18:06,40686.45,95
11:18:06,40686.46,131
11:18:06,40686.47,114
11:18:06,40686.48,79
11:18:06,40686.49,37
11:18:06,40686.50,0
11:18:06,40686.51,-13
11:18:06,40686.52,-35
11:18:06,40686.53,-54
11:18:06,40686.54,-76
11:18:06,40686.55,-94
11:18:06,40686.56,-100
11:18:06,40686.57,-106
11:18:06,40686.58,228
11:18:06,40686.59,684
11:18:06,40686.60,1058
11:18:06,40686.61,1070
11:18:06,40686.62,831
11:18:06,40686.63,510
11:18:06,40686.64,97
11:18:06,40686.65,-240
11:18:06,40686.66,-374
11:18:06,40686.67,-368
11:18:06,40686.68,-299
11:18:06,40686.69,-263
11:18:06,40686.70,-247
11:18:06,40686.71,-221
11:18:06,40686.72,-192
11:18:06,40686.73,-167
11:18:06,40686.74,-152
11:18:06,40686.75,-145
11:18:06,40686.76,-121
11:18:06,40686.77,-98
11:18:06,40686.78,-82
11:18:06,40686.79,-65
11:18:06,40686.80,-48
11:18:06,40686.82,-4
11:18:06,40686.82,32
11:18:06,40686.84,75
11:18:06,40686.84,101
11:18:06,40686.85,105
11:18:06,40686.86,96
11:18:06,40686.87,50
11:18:06,40686.88,-8
11:18:06,40686.89,-78
11:18:06,40686.90,-136
11:18:06,40686.91,-153
11:18:06,40686.92,-154
11:18:06,40686.93,-136
11:18:06,40686.94,-117
11:18:06,40686.95,-110
11:18:06,40686.96,-108
11:18:06,40686.97,-114
11:18:06,40686.98,-107
11:18:06,40686.99,-81
11:18:07,40687.00,-63
11:18:07,40687.01,-41
11:18:07,40687.02,-49
11:18:07,40687.03,-51
11:18:07,40687.04,-54
11:18:07,40687.05,-52
11:18:07,40687.06,-31
11:18:07,40687.07,-19
11:18:07,40687.08,-11
11:18:07,40687.09,-21
11:18:07,40687.10,-30
11:18:07,40687.11,-24
11:18:07,40687.12,-11
11:18:07,40687.13,3
11:18:07,40687.14,18
11:18:07,40687.15,22
11:18:07,40687.16,44
11:18:07,40687.17,75
11:18:07,40687.18,117
11:18:07,40687.19,146
11:18:07,40687.20,148
11:18:38,40718.25,123
11:18:38,40718.27,150
11:18:38,40718.27,162
11:18:38,40718.29,143
11:18:38,40718.30,119
11:18:38,40718.30,90
11:18:38,40718.32,47
11:18:38,40718.32,12
11:18:38,40718.34,-18
11:18:38,40718.34,-44
11:18:38,40718.36,-51
11:18:38,40718.36,-72
11:18:38,40718.38,-71
11:18:38,40718.39,-87
11:18:38,40718.39,24
11:18:38,40718.41,318
11:18:38,40718.41,756
11:18:38,40718.43,1045
11:18:38,40718.43,1071
11:18:38,40718.45,775
11:18:38,40718.45,420
11:18:38,40718.46,45
11:18:38,40718.48,-227
11:18:38,40718.48,-357
11:18:38,40718.50,-378
11:18:38,40718.50,-295
11:18:38,40718.52,-253
11:18:38,40718.52,-216
11:18:38,40718.54,-186
11:18:38,40718.55,-166
11:18:38,40718.55,-141
11:18:38,40718.57,-132
11:18:38,40718.57,-114
11:18:38,40718.59,-109
11:18:38,40718.60,-100
11:18:38,40718.61,-78
11:18:38,40718.62,-58
11:18:38,40718.63,-9
11:18:38,40718.64,29
11:18:38,40718.65,60
11:18:38,40718.66,72
11:18:38,40718.68,72
11:18:38,40718.68,78
11:18:38,40718.70,65
11:18:38,40718.70,26
11:18:38,40718.71,-27
11:18:38,40718.72,-96
11:18:38,40718.73,-146
11:18:38,40718.74,-172
11:18:38,40718.75,-176
11:18:38,40718.77,-155
11:18:38,40718.77,-146
11:18:38,40718.79,-126
11:18:38,40718.79,-121
11:18:38,40718.80,-108
11:18:38,40718.81,-105
11:18:38,40718.82,-108
11:18:38,40718.84,-111
11:18:38,40718.84,-105
11:18:38,40718.86,-95
11:18:38,40718.86,-70
11:18:38,40718.88,-65
11:18:38,40718.88,-55
11:18:38,40718.89,-59
11:18:38,40718.90,-49
11:18:38,40718.91,-23
11:18:38,40718.93,-10
11:18:38,40718.93,1
11:18:38,40718.95,-13
11:18:38,40718.95,-17
11:18:38,40718.96,-3
11:18:38,40718.97,4
11:18:38,40718.98,14
11:18:38,40718.99,22
11:18:39,40719.00,61
11:18:39,40719.02,108
11:18:39,40719.02,133
11:18:39,40719.04,142
11:18:39,40719.04,132
11:18:39,40719.05,115
11:18:39,40719.06,81
11:18:39,40719.07,30
11:18:39,40719.09,-14
11:18:39,40719.09,-47
11:18:39,40719.11,-61
11:18:39,40719.11,-65
11:18:39,40719.13,-81
11:18:39,40719.13,-101
11:18:39,40719.14,-110
11:18:39,40719.15,21
11:18:39,40719.16,338
11:18:39,40719.17,742
11:18:39,40719.18,995
11:18:39,40719.19,1034
11:18:39,40719.20,880
11:18:39,40719.21,589
11:18:39,40719.22,117
11:18:39,40719.23,-265
11:18:39,40719.24,-448
11:18:39,40719.25,-407
11:18:39,40719.26,-339
11:18:39,40719.27,-305
11:18:39,40719.28,-268
11:18:39,40719.29,-244
11:18:39,40719.30,-214
11:18:39,40719.31,-187
11:18:39,40719.32,-165
11:18:39,40719.33,-143
11:18:39,40719.34,-128
11:18:39,40719.35,-125
11:18:39,40719.36,-117
11:18:39,40719.37,-107
11:18:39,40719.38,-70
11:18:39,40719.39,-21
11:18:39,40719.40,28
11:18:39,40719.41,69
11:18:39,40719.42,85
11:18:39,40719.43,94
11:18:39,40719.44,80
11:18:39,40719.45,51
11:18:39,40719.46,13
11:18:39,40719.47,-58
11:18:39,40719.48,-122
11:18:39,40719.49,-176
11:18:39,40719.50,-180
11:18:39,40719.51,-160
11:18:39,40719.52,-156
11:18:39,40719.53,-147
11:18:39,40719.54,-147
11:18:39,40719.55,-129
11:18:39,40719.56,-99
11:18:39,40719.57,-82
11:18:39,40719.58,-61
11:18:39,40719.59,-57
11:18:39,40719.60,-50
11:18:39,40719.61,-50
11:18:39,40719.62,-62
11:18:39,40719.63,-54
11:18:39,40719.64,-47
11:18:39,40719.65,-37
11:18:39,40719.66,-36
11:18:39,40719.67,-41
11:18:39,40719.68,-33
11:18:39,40719.69,-28
11:18:39,40719.70,-26
11:18:39,40719.71,-18
11:18:39,40719.72,-6
11:18:39,40719.73,15
11:18:39,40719.74,26
11:18:39,40719.75,37
11:18:39,40719.76,74
11:18:39,40719.77,108
11:18:39,40719.78,144
11:18:39,40719.79,141
11:18:39,40719.80,112
11:18:39,40719.81,63
11:18:39,40719.82,14
11:18:39,40719.83,-14
11:18:39,40719.84,-27
11:18:39,40719.85,-42
11:18:39,40719.86,-53
11:18:39,40719.87,-76
11:18:39,40719.88,-93
11:18:39,40719.89,-54
11:18:39,40719.90,188
11:18:39,40719.91,531
11:18:39,40719.92,838
11:18:39,40719.93,985
11:18:39,40719.94,968
11:18:39,40719.95,771
11:18:39,40719.96,381
11:18:39,40719.97,-85
11:18:39,40719.98,-349
11:18:39,40719.99,-429
11:18:40,40720.00,-357
11:18:40,40720.01,-316
11:18:40,40720.02,-296
11:18:40,40720.03,-263
11:18:40,40720.04,-237
11:18:40,40720.05,-208
11:18:40,40720.06,-181
11:18:40,40720.07,-158
11:18:40,40720.08,-142
11:18:40,40720.09,-143
11:18:40,40720.10,-138
11:18:40,40720.11,-115
11:18:40,40720.12,-83
11:18:40,40720.13,-29
11:18:40,40720.14,15
11:18:40,40720.15,53
11:18:40,40720.16,70
11:18:40,40720.17,72
11:18:40,40720.18,72
11:18:40,40720.20,56
11:18:40,40720.20,27
11:18:40,40720.21,-29
11:18:40,40720.22,-100
11:18:40,40720.23,-146
11:18:40,40720.24,-160
11:18:40,40720.25,-158
11:18:40,40720.27,-148
11:18:40,40720.27,-146
11:18:40,40720.29,-134
11:18:40,40720.29,-124
11:18:40,40720.30,-112
11:18:40,40720.31,-98
11:18:40,40720.32,-99
11:18:40,40720.34,-91
11:18:40,40720.34,-85
11:18:40,40720.36,-69
11:18:40,40720.36,-41
11:18:40,40720.38,-37
11:18:40,40720.38,-35
11:18:40,40720.39,-41
11:18:40,40720.40,-36
11:18:40,40720.41,-14
11:18:40,40720.43,-9
11:18:40,40720.43,4
11:18:40,40720.45,2
11:18:40,40720.45,5
11:18:40,40720.46,14
11:18:40,40720.47,13
11:18:40,40720.48,29
11:18:40,40720.49,57
11:18:40,40720.50,93
11:18:40,40720.52,140
11:18:40,40720.52,155
11:18:40,40720.54,162
11:18:40,40720.54,136
11:18:40,40720.55,100
11:18:40,40720.56,66
11:18:40,40720.57,9
11:18:40,40720.59,-24
11:18:40,40720.59,-56
11:18:40,40720.61,-62
11:18:40,40720.61,-68
11:18:40,40720.63,-82
11:18:40,40720.63,-92
11:18:40,40720.64,-30
11:18:40,40720.65,216
11:18:40,40720.66,630
11:18:40,40720.68,962
11:18:40,40720.68,1063
11:18:40,40720.70,828
11:18:40,40720.70,422
11:18:40,40720.71,-52
11:18:40,40720.72,-325
11:18:40,40720.73,-392
11:18:40,40720.74,-321
11:18:40,40720.75,-272
11:18:40,40720.76,-230
11:18:40,40720.77,-189
11:18:40,40720.78,-156
11:18:40,40720.79,-139
11:18:40,40720.80,-125
11:18:40,40720.80,-101
11:18:40,40720.82,-86
11:18:40,40720.82,-72
11:18:40,40720.84,-71
11:18:40,40720.85,-65
11:18:40,40720.86,-41
11:18:40,40720.87,-8
11:18:40,40720.88,42
11:18:40,40720.89,81
11:18:40,40720.89,107
11:18:40,40720.91,118
11:18:40,40720.91,102
11:18:40,40720.93,91
11:18:40,40720.94,54
11:18:40,40720.95,-7
11:18:40,40720.96,-78
11:18:40,40720.96,-134
11:18:40,40720.98,-147
11:18:40,40720.98,-143
11:18:40,40721.00,-136
11:18:41,40721.01,-136
11:18:41,40721.02,-148
11:18:41,40721.03,-147
11:18:41,40721.04,-136
11:18:41,40721.05,-121
11:18:41,40721.05,-104
11:18:41,40721.07,-92
11:18:41,40721.07,-72
11:18:41,40721.09,-62
11:18:41,40721.10,-59
11:18:41,40721.11,-53
11:18:41,40721.12,-54
11:18:41,40721.13,-49
11:18:41,40721.14,-45
11:18:41,40721.14,-43
11:18:41,40721.16,-39
11:18:41,40721.16,-48
11:18:41,40721.18,-51
11:18:41,40721.19,-46
11:18:41,40721.20,-31
11:18:41,40721.21,-7
11:18:41,40721.21,4
11:18:41,40721.23,28
11:18:41,40721.23,55
11:18:41,40721.25,83
11:18:41,40721.26,104
11:18:41,40721.27,104
11:18:41,40721.28,101
11:18:41,40721.29,70
11:18:41,40721.30,16
11:18:41,40721.30,-27
11:18:41,40721.32,-60
11:18:41,40721.32,-56
11:18:41,40721.34,-70
11:18:41,40721.34,-91
11:18:41,40721.36,-102
11:18:41,40721.38,-118
11:18:41,40721.38,17
11:18:41,40721.39,433
11:18:41,40721.40,856
11:18:41,40721.40,1063
11:18:41,40721.41,797
11:18:41,40721.43,361
11:18:41,40721.45,-97
11:18:41,40721.45,-346
11:18:41,40721.46,-383
11:18:41,40721.47,-296
11:18:41,40721.48,-226
11:18:41,40721.49,-186
11:18:41,40721.50,-163
11:18:41,40721.52,-133
11:18:41,40721.52,-120
11:18:41,40721.54,-102
11:18:41,40721.54,-102
11:18:41,40721.55,-89
11:18:41,40721.56,-67
11:18:41,40721.57,-55
11:18:41,40721.59,-40
11:18:41,40721.59,-33
11:18:41,40721.61,-16
11:18:41,40721.61,10
11:18:41,40721.63,31
11:18:41,40721.63,69
11:18:41,40721.64,100
11:18:41,40721.65,121
11:18:41,40721.66,119
11:18:41,40721.68,92
11:18:41,40721.68,44
11:18:41,40721.70,-21
11:18:41,40721.70,-76
11:18:41,40721.71,-108
11:18:41,40721.72,-122
11:18:41,40721.73,-123
11:18:41,40721.74,-124
11:18:41,40721.75,-128
11:18:41,40721.77,-123
11:18:41,40721.77,-115
11:18:41,40721.79,-94
11:18:41,40721.79,-85
11:18:41,40721.80,-81
11:18:41,40721.81,-71
11:18:41,40721.82,-70
11:18:41,40721.83,-58
11:18:41,40721.84,-51
11:18:41,40721.85,-36
11:18:41,40721.86,-21
11:18:41,40721.87,-18
11:18:41,40721.88,-8
11:18:41,40721.89,-2
11:18:41,40721.90,6
11:18:41,40721.91,11
11:18:41,40721.92,-3
11:18:41,40721.93,4
11:18:41,40721.94,9
11:18:41,40721.95,29
11:18:41,40721.96,41
11:18:41,40721.97,56
11:18:41,40721.98,94
11:18:41,40721.99,132
11:18:41,40722.00,156
11:18:42,40722.01,157
11:18:42,40722.02,123
11:18:42,40722.03,73
11:18:42,40722.04,18
11:18:42,40722.05,-21
11:18:42,40722.06,-29
11:18:42,40722.07,-42
11:18:42,40722.08,-54
11:18:42,40722.09,-79
11:18:42,40722.10,-110
11:18:42,40722.11,-102
11:18:42,40722.12,97
11:18:42,40722.13,487
11:18:42,40722.14,894
11:18:42,40722.15,1067
11:18:42,40722.16,1028
11:18:42,40722.17,802
11:18:42,40722.18,444
11:18:42,40722.19,-22
11:18:42,40722.20,-341
11:18:42,40722.21,-442
11:18:42,40722.22,-393
11:18:42,40722.23,-333
11:18:42,40722.24,-306
11:18:42,40722.25,-283
11:18:42,40722.26,-261
11:18:42,40722.27,-246
11:18:42,40722.28,-213
11:18:42,40722.29,-187
11:18:42,40722.30,-161
11:18:42,40722.31,-149
11:18:42,40722.32,-145
11:18:42,40722.34,-126
11:18:42,40722.34,-98
11:18:42,40722.35,-60
11:18:42,40722.36,-13
11:18:42,40722.37,14
11:18:42,40722.38,36
11:18:42,40722.39,38
11:18:42,40722.40,34
11:18:42,40722.41,19
11:18:42,40722.42,-26
11:18:42,40722.43,-69
11:18:42,40722.44,-127
11:18:42,40722.45,-162
11:18:42,40722.46,-180
11:18:42,40722.47,-184
11:18:42,40722.48,-170
11:18:42,40722.49,-162
11:18:42,40722.50,-145
11:18:42,40722.51,-130
11:18:42,40722.52,-121
11:18:42,40722.53,-106
11:18:42,40722.54,-99
11:18:42,40722.55,-95
11:18:42,40722.56,-92
11:18:42,40722.57,-85
11:18:42,40722.58,-71
11:18:42,40722.59,-70
11:18:42,40722.60,-68
11:18:42,40722.61,-58
11:18:42,40722.62,-49
11:18:42,40722.63,-36
11:18:42,40722.64,-29
11:18:42,40722.65,-33
11:18:42,40722.66,-33
11:18:42,40722.67,-41
11:18:42,40722.68,-21
11:18:42,40722.69,-3
11:18:42,40722.70,21
11:18:42,40722.71,56
11:18:42,40722.72,82
11:18:42,40722.73,116
11:18:42,40722.74,127
11:18:42,40722.75,119
11:18:42,40722.76,91
11:18:42,40722.77,44
11:18:42,40722.78,17
11:18:42,40722.79,-2
11:18:42,40722.80,-12
11:18:42,40722.81,-31
11:18:42,40722.82,-60
11:18:42,40722.83,-73
11:18:42,40722.84,-94
11:18:42,40722.85,-47
11:18:42,40722.86,221
11:18:42,40722.87,522
11:18:42,40722.88,876
11:18:42,40722.89,976
11:18:42,40722.89,950
11:18:42,40722.91,657
11:18:42,40722.91,168
11:18:42,40722.93,-211
11:18:42,40722.93,-402
11:18:42,40722.95,-366
11:18:42,40722.95,-302
11:18:42,40722.96,-268
11:18:42,40722.98,-219
11:18:42,40722.98,-183
11:18:42,40723.00,-148
11:18:43,40723.00,-123
11:18:43,40723.02,-116
11:18:43,40723.02,-102
11:18:43,40723.04,-91
11:18:43,40723.05,-81
11:18:43,40723.05,-64
11:18:43,40723.07,-51
11:18:43,40723.07,-17
11:18:43,40723.09,16
11:18:43,40723.09,57
11:18:43,40723.11,95
11:18:43,40723.11,112
11:18:43,40723.13,122
11:18:43,40723.14,106
11:18:43,40723.14,73
11:18:43,40723.16,14
11:18:43,40723.16,-61
11:18:43,40723.18,-114
11:18:43,40723.18,-156
11:18:43,40723.20,-174
11:18:43,40723.20,-174
11:18:43,40723.21,-162
11:18:43,40723.23,-137
11:18:43,40723.23,-130
11:18:43,40723.25,-125
11:18:43,40723.25,-119
11:18:43,40723.27,-115
11:18:43,40723.27,-93
11:18:43,40723.29,-85
11:18:43,40723.30,-68
11:18:43,40723.30,-68
11:18:43,40723.32,-68
11:18:43,40723.32,-61
11:18:43,40723.34,-52
11:18:43,40723.36,-47
11:18:43,40723.36,-42
11:18:43,40723.37,-35
11:18:43,40723.38,-8
11:18:43,40723.39,5
